name,region,location,category,tier,contact,contactType,contactUrl,fit,activation,ask,status,verification,checked,sourceUrl,additionalSources,positions,logoUrls
Safely,Runningman roster,National prospect,Camp + comfort,2,team@livesafely.co,Company / wholesale contact,https://livesafely.co/pages/contact,Personal safety products can support a thoughtful outdoor-awareness conversation.,"A short, practical personal-safety introduction and a clearly signed buddy meet-up point.",Ask for educators and demonstration-only materials; confirm festival rules before displaying any defensive spray.,Prospect, no agreement,Official contact route checked,2026-09-20,https://livesafely.co/pages/contact,,58,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-1.svg
Unwaffle,Runningman roster,National prospect,Food + drink,2,team@eatunwaffle.com,General company contact,https://eatunwaffle.com/pages/faq,Waffle-based breakfasts give early riders a memorable morning ritual.,"A small pre-ride waffle breakfast, with a local caterer handling service.","Ask for wholesale or event supply, freezer/toaster power, servings, food service and ingredient labels.",Prospect, no agreement,Official contact route checked,2026-09-20,https://eatunwaffle.com/pages/faq,,59,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-300.svg
AT&T Connected Car,Runningman roster,National prospect,Camp + comfort,3,Official Connected Car contact / support,Product support; partnership lead unverified,https://www.att.com/plans/connected-car/,In-vehicle connectivity fits a vehicle display; it does not establish site-wide signal or emergency coverage.,"A connected-vehicle demonstration coordinated with Rivian, if both brands are interested.","Ask for an events lead and site survey; confirm coverage, equipment, power and any display permissions.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.att.com/plans/connected-car/,,60,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-298.svg
Hill Country Bicycle Works,San Antonio + Hill Country,Kerrville + Fredericksburg,Trail + movement,1,hillbike@ktc.com · 830-896-6864,Local shop contact,https://hillcountrybicycleworks.com/contact/,"A real local cycling business with service, retail and an existing Flat Rock Ranch event connection.","A pre-festival shop ride, basic mechanic station and guided introduction to the ranch’s approved trails.","Ask for staff availability, an equipment list and a scoped service/demo offer; confirm any MTB rental inventory separately.",Prospect, no agreement,Official contact route checked,2026-09-20,https://hillcountrybicycleworks.com/contact/,https://www.flatrockranchtx.com/events,,
Soulbird Wellness,San Antonio + Hill Country,San Antonio,Recovery + wellness,1,210-651-2882 · site Contact link,Local mobile service,https://soulbirdwellness.fit/,An actual San Antonio mobile sauna and cold-plunge operator serving events and retreats.,"A modest, staffed recovery zone that can be piloted before scaling.","Ask whether Comfort is in the service area, participants per hour, water/power/drainage, transport, staffing and a written event quote.",Prospect, no agreement,Official contact route checked,2026-09-20,https://soulbirdwellness.fit/,,,
Visit Comfort TX,San Antonio + Hill Country,Comfort,Community + media,1,Shari Reynolds · shari@visitcomforttx.com,Public destination marketing contact,https://www.visitcomforttx.com/press-media,A local destination-marketing organization with a direct interest in visitors supporting Comfort businesses.,"A co-created Comfort weekend guide with places to stay, eat and explore before or after the festival.","Ask for local introductions, calendar/newsletter placement, official images and a tracked visitor-guide link.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.visitcomforttx.com/press-media,,,
Fleet Feet San Antonio,San Antonio + Hill Country,San Antonio,Trail + movement,1,Official local contact page,Local store / running community,https://www.fleetfeet.com/s/sanantonio/about/get-in-touch,"Running footwear, fitting and training programs can bring a new trail-running audience.",A store-based preview run and a beginner-friendly trail-running introduction led by qualified staff.,"Ask the store about its event calendar, coaches, demo shoes and referral tracking; avoid promising free product.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.fleetfeet.com/s/sanantonio/about/get-in-touch,,,
STORM,San Antonio + Hill Country,San Antonio region + Flat Rock Ranch,Trail + movement,1,races@stormmtb.org,Public race-organizer contact,https://stormmtb.org/events/miles-of-discomfort,South Texas Off Road Mountain-Bikers already organizes Miles of DisComfort at Flat Rock Ranch.,"Explore a trail-community invitation, rider orientation and a stewardship contribution tied to Gryphus.","Ask about alignment with existing events, volunteer capacity and trail-care priorities; do not imply an agreement.",Prospect, no agreement,Official contact route checked,2026-09-20,https://stormmtb.org/events/miles-of-discomfort,https://stormmtb.org/,,
Hotel Giles,San Antonio + Hill Country,Comfort,Camp + comfort,2,830-995-3030 · site Contact link,Local hotel contact,https://www.hotelgiles.com/,Historic lodging in Comfort; its Alfred Giles heritage echoes the ranch’s own history.,A small festival room-block inquiry with a Comfort heritage welcome and a direct guest guide.,"Ask about dates, room inventory, group terms and cancellation rules. No rooms are reserved.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.hotelgiles.com/,https://www.hotelgiles.com/about; https://www.flatrockranchtx.com/about,,
Camp Comfort,San Antonio + Hill Country,Comfort,Camp + comfort,2,stay@camp-comfort.com,Lodging / event sales,https://camp-comfort.com/contact/,"Rooms, cabins, an Airstream and a social hall make this a natural friends-weekend prospect.",A small group-stay package or pre-festival welcome gathering in town.,"Ask about available inventory, group terms, quiet hours and transport suggestions; no availability is assumed.",Prospect, no agreement,Official contact route checked,2026-09-20,https://camp-comfort.com/contact/,,,
Famous Juice Company,San Antonio + Hill Country,San Antonio,Food + drink,2,Catering form · 210-651-2090,Explicit event catering route,https://famousjuicecompany.com/catering/,"The company advertises juice, smoothies, acai bowls and snacks for San Antonio athletic events.",A fresh breakfast-and-juice counter with an optional Gryphus menu item.,"Ask whether it travels to Comfort, minimum spend, refrigeration, power, permits, staff and serving capacity.",Prospect, no agreement,Official contact route checked,2026-09-20,https://famousjuicecompany.com/catering/,,,
High’s Cafe & Store,San Antonio + Hill Country,Comfort,Food + drink,2,Contact form · 830-995-4995,Local cafe contact,https://www.highscafeandstore.com/locationcontact,A Comfort cafe with an existing lunches-to-go offer.,Preordered crew lunches and an in-town food stop for arriving guests.,"Ask about quantities, lead time, pickup schedule, dietary choices and a group ordering cutoff.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.highscafeandstore.com/locationcontact,,,
Restore Hyper Wellness, Sonterra,San Antonio + Hill Country,San Antonio,Recovery + wellness,2,frontdeskTX008@restore.com · 210-451-0052,Local studio contact,https://www.restore.com/locations/tx-san-antonio-sonterra-tx008,A local wellness studio offering compression and other modalities; off-site event operations are unconfirmed.,Explore a staffed compression demonstration or a pre/post-festival studio offer.,"Ask which non-invasive services can responsibly travel, staff requirements, hygiene and whether off-site service is permitted.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.restore.com/locations/tx-san-antonio-sonterra-tx008,,,
Visit Boerne,San Antonio + Hill Country,Boerne,Community + media,2,Official visitor bureau contact · 830-249-7277,City destination marketing,https://www.ci.boerne.tx.us/1697/About-Visit-Boerne,The official visitor bureau promotes stays and experiences in nearby Boerne.,A Boerne overnight + Comfort festival itinerary and a verified event listing.,"Ask about listing requirements, accommodation partners, local images and measurable referrals.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.ci.boerne.tx.us/1697/About-Visit-Boerne,,,
San Antonio Sports,San Antonio + Hill Country,San Antonio,Community + media,3,marathon@sanantoniosports.org,Public marathon organization contact,https://sanantoniomarathon.com/,A regional sports nonprofit organizing the San Antonio Marathon can help identify relevant movement communities.,"An exploratory conversation about calendar alignment, club introductions and community benefit.",Ask whether cross-promotion is appropriate and who owns community partnerships; do not assume audience access or endorsement.,Prospect, no agreement,Official contact route checked,2026-09-20,https://sanantoniomarathon.com/,,,
Disko Cowboy / Vinyl Ranch,User-picked creative prospect,Texas connection; travel and availability unconfirmed,Music + production,2,rylan@vinylranch.com (management / booking); wrangler@vinylranch.com (general),Public management and general contacts,https://www.diskocowboy.com/,"Dave Wrangler’s country, disco and EDM project connects music with Vinyl Ranch streetwear.",Explore a sunset DJ set plus a small Gryphus x Vinyl Ranch merchandise collaboration.,"Ask management about the intended date, fee, travel, technical rider and collaboration interest. Confirm corduroy front, mesh back and NO ROPES for any hat concept.",Creative prospect, not booked or agreed,Official artist and contacts checked,2026-09-20,https://www.diskocowboy.com/,,,
